2026-05-28 11:06:34.565 | DEBUG    | rag_module:__init__:382 - Initializing RAGManager for user: mahek
2026-05-28 11:30:11.844 | INFO     | research_graph:analyst_node:74 - Starting Analyst...
2026-05-28 11:30:11.845 | INFO     | research_graph:fact_checker_node:83 - Starting Fact-Checker...
2026-05-28 11:30:18.359 | DEBUG    | research_graph:fact_checker_node:88 - Fact-checker finished verification.
2026-05-28 11:30:25.168 | DEBUG    | research_graph:analyst_node:79 - Analyst finished extracting insights.
2026-05-28 11:30:25.176 | INFO     | research_graph:critic_node:92 - Starting Critic...
2026-05-28 11:31:53.115 | ERROR    | mem0_integration:search_memories:168 - Error searching memories: Top-level entity parameters frozenset({'user_id'}) are not supported in search(). Use filters={'user_id': '...'} instead.
2026-05-28 11:34:35.329 | ERROR    | mem0_integration:search_memories:168 - Error searching memories: Top-level entity parameters frozenset({'user_id'}) are not supported in search(). Use filters={'user_id': '...'} instead.
2026-07-03 00:13:50.887 | DEBUG    | rag_module:__init__:382 - Initializing RAGManager for user: MAHEK
2026-07-03 00:13:50.912 | INFO     | rag_module:create_session:120 - Created new session 2dce657d-3031-48c9-b782-77f6d4884fcb for user MAHEK
2026-07-03 00:14:45.540 | INFO     | research_graph:planner_node:43 - Starting Planner for query: IMPACT OF LLMS IN HEALTHCARE...
2026-07-03 00:14:50.856 | DEBUG    | research_graph:planner_node:48 - Planner generated 3 tasks.
2026-07-03 00:15:07.902 | INFO     | research_graph:researcher_node:52 - Starting Researcher...
2026-07-03 00:15:07.904 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Quantify the impact of LLMs on diagnostic accuracy, treatment plan optimization, and patient communication in clinical settings.
2026-07-03 00:15:11.600 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Assess the effectiveness of LLMs in streamlining administrative workflows, reducing documentation burden, and improving resource allocation within healthcare systems.
2026-07-03 00:15:13.442 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Investigate the ethical, legal, and social implications of LLM integration in healthcare, focusing on data privacy, algorithmic bias, and professional accountability.
2026-07-03 00:15:15.493 | INFO     | research_graph:researcher_node:70 - Researcher found 9 results from 9 sources.
2026-07-03 00:15:25.483 | INFO     | research_graph:analyst_node:74 - Starting Analyst...
2026-07-03 00:15:25.485 | INFO     | research_graph:fact_checker_node:83 - Starting Fact-Checker...
2026-07-03 00:15:35.563 | DEBUG    | research_graph:analyst_node:79 - Analyst finished extracting insights.
2026-07-03 00:15:38.120 | DEBUG    | research_graph:fact_checker_node:88 - Fact-checker finished verification.
2026-07-03 00:16:00.259 | INFO     | research_graph:critic_node:92 - Starting Critic...
2026-07-03 00:16:12.630 | INFO     | research_graph:critic_node:112 - Critic Score: 10
2026-07-03 00:16:12.633 | INFO     | research_graph:routing_logic:146 - Satisfactory score achieved. Proceeding to writer.
2026-07-03 00:16:26.927 | INFO     | research_graph:writer_node:116 - Starting Writer...
2026-07-03 00:16:46.628 | INFO     | research_graph:writer_node:121 - Writer finished final report.
2026-07-03 00:16:49.381 | INFO     | mem0_integration:add_memory_from_conversation:105 - Memory added for user MAHEK
2026-07-03 00:20:27.444 | INFO     | research_graph:planner_node:43 - Starting Planner for query: Can LLMs replace doctors?...
2026-07-03 00:20:33.038 | DEBUG    | research_graph:planner_node:48 - Planner generated 3 tasks.
2026-07-03 00:20:55.091 | INFO     | mem0_integration:add_memory_from_conversation:105 - Memory added for user MAHEK
2026-07-03 00:21:03.921 | INFO     | mem0_integration:add_memory_from_conversation:105 - Memory added for user MAHEK
2026-07-03 00:21:16.143 | INFO     | research_graph:researcher_node:52 - Starting Researcher...
2026-07-03 00:21:16.147 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   **Evaluating Diagnostic and Treatment Efficacy:** Assess LLM performance on medical knowledge recall, differential diagnosis, treatment recommendation, and interpretation of clinical data (e.g., lab results, imaging reports) against human expert benchmarks.
2026-07-03 00:21:16.190 | ERROR    | research_graph:researcher_node:68 - Search error for '*   **Evaluating Diagnostic and Treatment Efficacy:** Assess LLM performance on medical knowledge recall, differential diagnosis, treatment recommendation, and interpretation of clinical data (e.g., lab results, imaging reports) against human expert benchmarks.': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-07-03 00:21:16.192 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   **Assessing Patient Communication, Empathy, and Trust:** Investigate LLMs' ability to communicate complex medical information clearly, provide empathetic responses, address patient concerns, and foster patient trust compared to human clinicians.
2026-07-03 00:21:18.709 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   **Analyzing Clinical Integration, Workflow Impact, and Ethical/Legal Implications:** Examine the practical challenges and benefits of integrating LLMs into existing healthcare workflows, including their impact on efficiency, data privacy, accountability, and potential for bias.
2026-07-03 00:21:21.268 | INFO     | research_graph:researcher_node:70 - Researcher found 6 results from 6 sources.
2026-07-03 00:21:39.706 | INFO     | research_graph:analyst_node:74 - Starting Analyst...
2026-07-03 00:21:39.710 | INFO     | research_graph:fact_checker_node:83 - Starting Fact-Checker...
2026-07-03 00:21:54.139 | DEBUG    | research_graph:analyst_node:79 - Analyst finished extracting insights.
2026-07-03 00:21:54.547 | DEBUG    | research_graph:fact_checker_node:88 - Fact-checker finished verification.
2026-07-03 00:22:05.697 | INFO     | research_graph:critic_node:92 - Starting Critic...
2026-07-03 00:22:17.774 | INFO     | research_graph:critic_node:112 - Critic Score: 9
2026-07-03 00:22:17.775 | INFO     | research_graph:routing_logic:146 - Satisfactory score achieved. Proceeding to writer.
2026-07-03 00:22:30.409 | INFO     | research_graph:writer_node:116 - Starting Writer...
2026-07-03 00:22:48.209 | INFO     | research_graph:writer_node:121 - Writer finished final report.
2026-07-03 00:22:50.275 | INFO     | mem0_integration:add_memory_from_conversation:105 - Memory added for user MAHEK
2026-07-03 00:33:25.133 | DEBUG    | rag_module:__init__:382 - Initializing RAGManager for user: MAHEK
2026-07-03 00:33:25.163 | INFO     | rag_module:create_session:120 - Created new session 1e0dcc88-be21-4530-aa76-b2602d537ddf for user MAHEK
2026-07-03 00:36:47.110 | DEBUG    | rag_module:__init__:382 - Initializing RAGManager for user: MAHEK
2026-07-03 00:36:47.132 | INFO     | rag_module:create_session:120 - Created new session 426ad9c3-8fb4-4906-962b-6e9cdd8d18e0 for user MAHEK
2026-07-03 00:39:08.811 | INFO     | research_graph:planner_node:43 - Starting Planner for query: What happens if the LLM gives incorrect medical ad...
2026-07-03 00:39:13.829 | DEBUG    | research_graph:planner_node:48 - Planner generated 4 tasks.
2026-07-03 00:39:43.832 | ERROR    | mem0_integration:get_user_context:228 - Error getting user context: MemoryClient.get() got an unexpected keyword argument 'user_id'
2026-07-03 00:39:43.834 | ERROR    | mem0_integration:search_memories:168 - Error searching memories: Top-level entity parameters frozenset({'user_id'}) are not supported in search(). Use filters={'user_id': '...'} instead.
2026-07-03 00:39:49.527 | INFO     | mem0_integration:add_memory_from_conversation:105 - Memory added for user MAHEK
2026-07-03 00:40:06.801 | INFO     | research_graph:researcher_node:52 - Starting Researcher...
2026-07-03 00:40:06.803 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Quantify the potential patient harm (e.g., delayed treatment, adverse events) and healthcare system burden (e.g., increased consultations, misallocation of resources) resulting from LLM-generated incorrect medical advice.
2026-07-03 00:40:10.233 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Investigate the underlying mechanisms and common patterns leading to LLMs generating incorrect medical advice, including data biases, reasoning failures, and misinterpretation of medical context.
2026-07-03 00:40:11.976 | DEBUG    | research_graph:researcher_node:58 - Searching for: *   Develop and evaluate methods for real-time detection of incorrect medical advice from LLMs and propose strategies for user education, system safeguards, and post-hoc correction protocols.
2026-07-03 00:40:14.842 | INFO     | research_graph:researcher_node:70 - Researcher found 9 results from 9 sources.
2026-07-03 00:40:20.698 | INFO     | research_graph:analyst_node:74 - Starting Analyst...
2026-07-03 00:40:20.699 | INFO     | research_graph:fact_checker_node:83 - Starting Fact-Checker...
2026-07-03 00:40:33.069 | DEBUG    | research_graph:analyst_node:79 - Analyst finished extracting insights.
2026-07-03 00:40:34.727 | DEBUG    | research_graph:fact_checker_node:88 - Fact-checker finished verification.
2026-07-03 00:40:41.666 | INFO     | research_graph:critic_node:92 - Starting Critic...
2026-07-03 00:40:55.496 | INFO     | research_graph:critic_node:112 - Critic Score: 95
2026-07-03 00:40:55.499 | INFO     | research_graph:routing_logic:146 - Satisfactory score achieved. Proceeding to writer.
2026-07-03 00:41:01.987 | INFO     | research_graph:writer_node:116 - Starting Writer...
2026-07-03 00:41:20.110 | INFO     | research_graph:writer_node:121 - Writer finished final report.
2026-07-03 00:41:21.950 | INFO     | mem0_integration:add_memory_from_conversation:105 - Memory added for user MAHEK
